source_id,galactic_longitude,galactic_latitude,visual_magnitude,parallax
1.37095E+13,176.7407588,-48.64039995,19.918894,0.061177735
1.37439E+13,176.8125667,-48.62432483,18.71046,1.897941794
1.37783E+13,176.8078773,-48.60721907,16.716763,0.918422047
1.38126E+13,176.7732709,-48.62165567,18.507069,1.044110265
1.38169E+13,176.7868582,-48.62375832,17.208853,0.613683594
1.38856E+13,176.8077856,-48.59137609,18.070105,0.290182886
1.40574E+13,176.7546121,-48.61118436,17.368435,0.747849937
1.41906E+13,176.7619568,-48.5815066,19.838844,0.226255256
1.41906E+13,176.7593392,-48.58134391,18.005928,2.719566716
1.41906E+13,176.7691199,-48.57388647,18.64954,0.86607328
1.42636E+13,176.7524827,-48.58233896,14.464003,4.139319896
1.4401E+13,176.689759,-48.66316952,14.904602,1.227107973
1.44311E+13,176.7151237,-48.66074948,13.908032,1.526271673
1.45728E+13,176.6716877,-48.68756923,15.552508,0.832968178
1.47403E+13,176.6831597,-48.64010453,19.813335,1.552980527
1.47403E+13,176.6751938,-48.63731451,19.0086,0.755315151
1.4809E+13,176.6580284,-48.64599729,19.977081,1.203999592
1.48778E+13,176.7264541,-48.61249777,20.730762,1.21415698
1.50839E+13,176.7002315,-48.5769385,18.75933,3.249521788
1.51183E+13,176.6796606,-48.6332181,18.94125,0.280855735
1.52557E+13,176.6869974,-48.59394441,17.70998,0.58255823
1.54619E+13,176.7897015,-48.56917847,20.49209,0.175659216
1.55306E+13,176.819803,-48.5282703,12.529439,4.595411705
1.55306E+13,176.8136037,-48.5402664,17.69107,0.141197362
1.5565E+13,176.8264825,-48.51472036,20.545664,1.348185475
1.56337E+13,176.8001836,-48.52018119,19.402739,1.887225388
1.5638E+13,176.790851,-48.5236095,13.135885,1.324240281
1.57067E+13,176.7587359,-48.55753528,20.09436,1.546961553
1.57368E+13,176.7365738,-48.56876295,18.349968,1.283017235
1.57411E+13,176.7391841,-48.57203534,10.253987,1.407660326
1.58398E+13,176.7627331,-48.52285105,18.394241,0.563955444
1.58398E+13,176.7729224,-48.52677415,20.079012,2.34881479
1.59429E+13,176.8237545,-48.49797487,18.640743,0.251308685
1.59429E+13,176.825334,-48.49977429,20.507645,1.419392748
1.60116E+13,176.799448,-48.50773143,17.438854,1.044000663
1.60116E+13,176.7967156,-48.50513599,16.829012,6.07472587
1.61147E+13,176.8119834,-48.45760253,19.60386,0.034527379
1.62221E+13,176.7681904,-48.50158535,15.497901,2.831291274
1.63552E+13,176.7871175,-48.47346547,17.238367,2.37702226
1.63552E+13,176.7670629,-48.48601581,18.325432,2.818894598
1.64283E+13,176.7507452,-48.48162577,15.956645,0.839430007
1.65313E+13,176.7181373,-48.551124,10.0337925,8.537190166
1.67332E+13,176.701333,-48.52417873,9.925234,5.473905597
1.67676E+13,176.6819612,-48.56432322,20.276241,0.978375918
1.68363E+13,176.6571834,-48.57553776,18.993021,0.305454005
1.68706E+13,176.6650354,-48.55685344,10.629925,2.10131724
