pl_name,hostname,galactic_latitude,galactic_longitude,distance,visual_mag
EPIC 206024342 d,EPIC 206024342,-49.1871,42.94366,369.888,13.096
EPIC 206032309 b,EPIC 206032309,-57.69594,50.70238,161.365,17.89
EPIC 206042996 b,EPIC 206042996,-54.37586,48.06541,451.769,16.59
EPIC 206042996 c,EPIC 206042996,-54.37586,48.06541,451.769,16.59
EPIC 206215704 b,EPIC 206215704,-50.28505,51.97463,109.888,17.83
EPIC 206317286 b,EPIC 206317286,-51.54478,56.17023,314.35,14.005
EPIC 206317286 c,EPIC 206317286,-51.54478,56.17023,314.35,14.005
EPIC 211822797 b,EPIC 211822797,32.03739,208.28299,186.197,15.133
EPIC 211945201 b,EPIC 211945201,38.12775,208.78206,181.69,10.154
EPIC 212297394 b,EPIC 212297394,43.14733,321.8192,418.395,14.611
EPIC 212297394 c,EPIC 212297394,43.14733,321.8192,418.395,14.611
EPIC 212424622 b,EPIC 212424622,47.50561,316.58254,611.804,13.441
EPIC 212499991 b,EPIC 212499991,49.05579,317.34866,283.29,13.672
EPIC 212587672 b,EPIC 212587672,50.09504,322.41694,320.07,12.488
EPIC 212587672 c,EPIC 212587672,50.09504,322.41694,320.07,12.488
EPIC 212624936 b,EPIC 212624936,49.04154,330.23401,561.929,13.976
EPIC 212624936 c,EPIC 212624936,49.04154,330.23401,561.929,13.976
EPIC 212737443 b,EPIC 212737443,53.83847,322.27085,336.25,14.81
EPIC 212737443 c,EPIC 212737443,53.83847,322.27085,336.25,14.81
EPIC 220492298 b,EPIC 220492298,-56.07199,129.88845,624.512,13.991
EPIC 220554210 c,K2-282,-54.87207,123.91754,496.289,14.21
EPIC 220674823 b,EPIC 220674823,-52.07644,123.28442,244.59,12.101
EPIC 220674823 c,EPIC 220674823,-52.07644,123.28442,244.59,12.101
EPIC 228836835 b,EPIC 228836835,57.47166,296.84098,150.124,16.77
EPIC 229004835 b,EPIC 229004835,60.81426,289.77763,121.971,10.23
EPIC 246851721 b,EPIC 246851721,-12.64088,186.97531,372.632,11.237
EPIC 248847494 b,EPIC 248847494,55.10278,232.28858,551.886,12.353
EPIC 249893012 b,EPIC 249893012,34.30816,345.11043,321.296,11.429
EPIC 249893012 c,EPIC 249893012,34.30816,345.11043,321.296,11.429
EPIC 249893012 d,EPIC 249893012,34.30816,345.11043,321.296,11.429
G 196-3 b,G 196-3,50.75922,165.11109,21.7912,11.672
G 264-012 b,G 264-012,10.16235,106.14833,16.009,13.078
G 264-012 c,G 264-012,10.16235,106.14833,16.009,13.078
G 9-40 b,G 9-40,37.03563,206.06509,27.9276,13.821
GJ 1061 b,GJ 1061,-52.90138,251.87109,3.67278,12.7
GJ 1061 c,GJ 1061,-52.90138,251.87109,3.67278,12.7
GJ 1061 d,GJ 1061,-52.90138,251.87109,3.67278,12.7
GJ 1132 b,GJ 1132,7.75911,277.25461,12.613,13.68
GJ 1132 c,GJ 1132,7.75911,277.25461,12.613,13.68
GJ 1148 b,GJ 1148,68.91636,160.61794,11.0143,11.939
GJ 1148 c,GJ 1148,68.91636,160.61794,11.0143,11.939
GJ 1151 c,GJ 1151,65.72032,147.86957,8.03625,13.76
GJ 1214 b,GJ 1214,23.60704,26.16217,14.6427,15.1
GJ 1252 b,GJ 1252,-35.49343,341.21724,20.373,12.68
GJ 1265 b,GJ 1265,-52.51355,39.07968,10.2525,14.01
GJ 143 b,GJ 143,-45.82079,279.23027,16.32,8.08
GJ 15 A b,GJ 15 A,-18.44687,116.69017,3.56228,8.09
GJ 15 A c,GJ 15 A,-18.44687,116.69017,3.56228,8.09
GJ 160.2 b,GJ 160.2,-45.26015,215.8726,25.8557,9.7
GJ 163 b,GJ 163,-45.32001,262.77663,15.1285,11.79
GJ 163 c,GJ 163,-45.32001,262.77663,15.1285,11.79
GJ 163 d,GJ 163,-45.32001,262.77663,15.1285,11.79
GJ 179 b,GJ 179,-22.86269,192.2274,12.356,11.963
GJ 180 b,GJ 180,-33.72746,216.96953,11.9407,10.914
GJ 180 c,GJ 180,-33.72746,216.96953,11.9407,10.914
GJ 180 d,GJ 180,-33.72746,216.96953,11.9407,10.914
GJ 2030 b,GJ 2030,-49.20245,191.80875,37.0788,6.20902
GJ 2030 c,GJ 2030,-49.20245,191.80875,37.0788,6.20902
GJ 2056 b,GJ 2056,-6.85292,237.4367,28.4434,10.37
GJ 229 A c,GJ 229,-18.44091,228.61506,5.75624,8.15
GJ 229 b,GJ 229,-18.44091,228.61506,5.75624,8.15
GJ 238 b,GJ 238,-25.12418,267.83346,15.2142,11.62
GJ 251 b,GJ 251,15.13189,182.93672,5.58057,9.89
GJ 27.1 b,GJ 27.1,-72.72011,309.84569,23.6062,11.45
GJ 273 b,GJ 273,10.37353,212.34455,5.921535,9.84
GJ 273 c,GJ 273,10.37353,212.34455,5.921535,9.84
GJ 3021 b,GJ 3021,-37.14415,304.86901,17.5559,6.59
GJ 3082 b,GJ 3082,-62.85069,295.46265,16.6186,11.041
GJ 3090 b,GJ 3090,-69.52189,287.95198,22.4751,11.403
GJ 3138 b,GJ 3138,-69.01004,185.99827,28.4712,10.8275
GJ 3138 c,GJ 3138,-69.01004,185.99827,28.4712,10.8275
GJ 3138 d,GJ 3138,-69.01004,185.99827,28.4712,10.8275
GJ 317 b,GJ 317,11.19034,246.79531,15.1968,12.4
GJ 317 c,GJ 317,11.19034,246.79531,15.1968,12.4
GJ 3222 b,GJ 3222,-56.09164,245.24126,18.23817,6.9
GJ 328 b,GJ 328,27.99859,226.70991,20.5266,9.99
GJ 328 c,GJ 328,27.99859,226.70991,20.5266,9.99
GJ 3293 b,GJ 3293,-41.61299,223.54147,20.1903,11.945
GJ 3293 c,GJ 3293,-41.61299,223.54147,20.1903,11.945
GJ 3293 d,GJ 3293,-41.61299,223.54147,20.1903,11.945
GJ 3293 e,GJ 3293,-41.61299,223.54147,20.1903,11.945
GJ 3323 b,GJ 3323,-27.47443,206.43154,5.37484,12.57
GJ 3323 c,GJ 3323,-27.47443,206.43154,5.37484,12.57
GJ 3341 b,GJ 3341,-33.03266,234.21914,23.619,12.062
GJ 338 B b,GJ 338 B,42.66615,164.94013,6.33256,7.7
GJ 3470 b,GJ 3470,21.75667,206.23529,29.4214,12.332
GJ 3473 b,GJ 3473,17.28798,218.15071,27.3644,13.74
GJ 3473 c,GJ 3473,17.28798,218.15071,27.3644,13.74
GJ 3512 b,GJ 3512,36.96199,157.24389,9.48637,15.18
GJ 3512 c,GJ 3512,36.96199,157.24389,9.48637,15.18
GJ 357 b,GJ 357,22.08045,253.88843,9.44181,10.91
GJ 357 c,GJ 357,22.08045,253.88843,9.44181,10.91
GJ 357 d,GJ 357,22.08045,253.88843,9.44181,10.91
GJ 3634 b,GJ 3634,25.8085,276.22112,20.3779,11.938
GJ 367 b,GJ 367,5.6589,272.24323,9.41263,10.153
GJ 367 c,GJ 367,5.6589,272.24323,9.41263,10.153
GJ 367 d,GJ 367,5.6589,272.24323,9.41263,10.153
GJ 3779 b,GJ 3779,82.4285,14.08223,13.743,13.04
GJ 3929 b,GJ 3929,49.59735,56.66419,15.8095,12.675
GJ 3929 c,GJ 3929,49.59735,56.66419,15.8095,12.675
GJ 393 b,GJ 393,46.88333,244.47566,7.03149,9.65
GJ 3942 b,GJ 3942,45.46907,82.20459,16.9287,10.166
GJ 3988 b,GJ 3988,37.48188,78.48019,9.9105,13.627
GJ 3998 b,GJ 3998,26.15047,32.27249,18.1459,10.844
GJ 3998 c,GJ 3998,26.15047,32.27249,18.1459,10.844
GJ 411 b,GJ 411,65.43126,185.11257,5.675773,7.49
GJ 414 A b,GJ 414 A,67.81292,198.37152,11.8893,8.31
GJ 414 A c,GJ 414 A,67.81292,198.37152,11.8893,8.31
GJ 422 b,GJ 422,2.98047,290.36745,12.6631,11.66
GJ 4276 b,GJ 4276,1.64262,105.28992,21.3362,12.903
GJ 433 b,GJ 433,27.65117,284.88498,9.06456,9.81
GJ 433 c,GJ 433,27.65117,284.88498,9.06456,9.81
GJ 433 d,GJ 433,27.65117,284.88498,9.06456,9.81
GJ 436 b,GJ 436,74.57238,210.55638,9.75321,10.67
GJ 463 b,GJ 463,52.8104,128.07997,18.3554,11.595
GJ 480 b,GJ 480,74.2865,291.48636,14.2358,11.49
GJ 486 b,GJ 486,72.60142,300.0371,8.07426,11.39
GJ 504 b,GJ 504,71.31364,322.78669,17.5299,5.18799
GJ 514 b,GJ 514,70.9386,333.2377,7.61778,9.05
GJ 536 b,GJ 536,55.81739,335.05211,10.4092,9.71
GJ 581 b,GJ 581,40.02208,354.07234,6.2981,10.57
GJ 581 c,GJ 581,40.02208,354.07234,6.2981,10.57
GJ 581 e,GJ 581,40.02208,354.07234,6.2981,10.57
GJ 625 b,GJ 625,42.78368,83.20997,6.47249,10.066
GJ 649 b,GJ 649,35.33721,46.52106,10.3796,9.7
GJ 667 C b,GJ 667 C,1.41002,351.84167,7.24396,10.602
GJ 667 C c,GJ 667 C,1.41002,351.84167,7.24396,10.602
GJ 667 C e,GJ 667 C,1.41002,351.84167,7.24396,10.602
GJ 667 C f,GJ 667 C,1.41002,351.84167,7.24396,10.602
GJ 667 C g,GJ 667 C,1.41002,351.84167,7.24396,10.602
GJ 674 b,GJ 674,-6.78174,343.00208,4.54896,9.38
GJ 676 A b,GJ 676 A,-9.54226,339.10272,16.0272,9.58
GJ 676 A c,GJ 676 A,-9.54226,339.10272,16.0272,9.58
GJ 676 A d,GJ 676 A,-9.54226,339.10272,16.0272,9.58
GJ 676 A e,GJ 676 A,-9.54226,339.10272,16.0272,9.58
GJ 680 b,GJ 680,-8.6634,342.07898,9.67315,10.129
GJ 682 b,GJ 682,-6.63429,345.9806,5.00671,10.94
GJ 682 c,GJ 682,-6.63429,345.9806,5.00671,10.94
GJ 685 b,GJ 685,32.5891,90.75762,14.3155,9.98
GJ 687 b,GJ 687,31.96608,98.59611,4.54939,9.15
GJ 687 c,GJ 687,31.96608,98.59611,4.54939,9.15
GJ 720 A b,GJ 720 A,21.73083,74.39563,15.5575,9.84
GJ 724 b,GJ 724,-3.78099,19.82504,16.9658,10.638
GJ 740 b,GJ 740,1.23509,38.93233,11.1017,9.22
GJ 806 b,GJ 806,1.00774,84.07015,12.0445,10.79
GJ 806 c,GJ 806,1.00774,84.07015,12.0445,10.79
GJ 832 b,GJ 832,-46.34872,349.16814,4.96435,8.66
GJ 849 b,GJ 849,-45.40318,55.89444,8.80058,10.41
GJ 849 c,GJ 849,-45.40318,55.89444,8.80058,10.41
GJ 86 b,GJ 86,-61.95722,275.90766,10.7836,6.12
GJ 876 b,GJ 876,-59.63511,52.00313,4.67517,10.16
GJ 876 c,GJ 876,-59.63511,52.00313,4.67517,10.16
GJ 876 d,GJ 876,-59.63511,52.00313,4.67517,10.16
GJ 876 e,GJ 876,-59.63511,52.00313,4.67517,10.16
GJ 896 A b,GJ 896 A,-39.14311,98.57856,6.26022,10.05
GJ 900 b,GJ 900 A,-55.87877,87.24859,20.8065,9.59
GJ 9066 c,GJ 9066,-46.49657,147.66932,4.471,12.71
GJ 9404 b,GJ 9404,82.80097,201.04684,23.8839,10.62
GJ 96 b,GJ 96,-12.26466,138.29282,11.9315,9.4
GJ 9689 b,GJ 9689,-11.48747,54.62427,30.6203,11.297
GJ 9714 b,GJ 9714,-40.46332,12.01411,20.5121,9.37
GJ 9827 b,GJ 9827,-57.18299,81.34803,29.661,10.37
GJ 9827 c,GJ 9827,-57.18299,81.34803,29.661,10.37
GJ 9827 d,GJ 9827,-57.18299,81.34803,29.661,10.37
GPX-1 b,GPX-1,-4.05517,136.89331,655.013,12.316
GQ Lup b,GQ Lup,14.51078,338.9253,151.169,11.593
GSC 06214-00210 b,GSC 06214-00210,20.12464,355.26184,108.5,12.416
GU Psc b,GU Psc,-45.51002,130.15305,47.5501,14.146
Gaia-1 b,Gaia-1,-11.12207,207.81493,363.66,13.242
Gaia-2 b,Gaia-2,27.88329,148.61097,209.229,11.277
Gl 378 b,Gl 378,51.19188,168.74261,14.9545,10.03
Gl 49 b,Gl 49,-0.49786,124.23545,9.8528,9.56
Gl 686 b,Gl 686,24.29465,42.24615,8.15728,9.62
Gliese 12 b,Gliese 12,-48.40659,109.835,12.21,12.6
